grid,MSE,MAE,R2,AR2,RMSE,MBD,,,,,,,,,,
Decision Tree,12.855,0.659,-47.909,-54.551,3.585,0.361,,,,Decision Tree Algorithm,,,,,,
Random Forest,2.293,0.387,-7.723,-8.907,1.514,0.114,,,,HPO Technoque,MSE,MAE,R2,AR2,RMSE,MBD
XGBoost,0.616,0.324,-1.345,-1.664,0.785,-0.025,,,,Grid,12.855,0.659,-47.909,-54.551,3.585,0.361
,,,,,,,,,,Random,11.671,0.611,-43.404,-49.434,3.416,0.246
random,MSE,MAE,R2,AR2,RMSE,MBD,,,,Bayesian,11.515,0.580,-42.813,-48.763,3.393,0.291
Decision Tree,11.671,0.611,-43.404,-49.434,3.416,0.246,,,,CV,10.036,0.524,-37.184,-42.369,3.168,0.150
Random Forest,1.661,0.376,-5.318,-6.176,1.289,0.085,,,,Original Prediction,11.642,0.586,-43.294,-49.310,3.412,0.267
XGBoost,0.455,0.310,-0.730,-0.965,0.674,0.042,,,,,,,,,,
,,,,,,,,,,,,,,,,
bayesian,MSE,MAE,R2,AR2,RMSE,MBD,,,,Random Forests,,,,,,
Decision Tree,11.515,0.580,-42.813,-48.763,3.393,0.291,,,,Grid,2.293,0.387,-7.723,-8.907,1.514,0.114
Random Forest,2.522,0.405,-8.597,-9.900,1.588,0.110,,,,Random,1.661,0.376,-5.318,-6.176,1.289,0.085
XGBoost,0.616,0.324,-1.345,-1.664,0.785,-0.025,,,,Bayesian,2.522,0.405,-8.597,-9.900,1.588,0.110
,,,,,,,,,,CV,1.612,0.366,-5.132,-5.965,1.270,0.084
cross,MSE,MAE,R2,AR2,RMSE,MBD,,,,Original Prediction,1.723,0.362,-5.556,-6.447,1.313,0.094
Decision Tree,10.036,0.524,-37.184,-42.369,3.168,0.150,,,,,,,,,,
Random Forest,1.612,0.366,-5.132,-5.965,1.270,0.084,,,,XGBoost,,,,,,
XGBoost,0.616,0.324,-1.345,-1.664,0.785,-0.025,,,,Grid,0.616,0.324,-1.345,-1.664,0.785,-0.025
,,,,,,,,,,Random,0.455,0.310,-0.730,-0.965,0.674,0.042
,,,,,,,,,,Bayesian,0.616,0.324,-1.345,-1.664,0.785,-0.025
,,,,,,,,,,CV,0.616,0.324,-1.345,-1.664,0.785,-0.025
,,,,,,,,,,Original Prediction,1.2558,0.3612,-3.7780,-4.4269,1.1206,-0.0465
